日期,證券代號,證券名稱,序號,券商,價格,買進股數,賣出股數
2002/03/11,3034,novatek,459,1480,431.00,72000,11000
2002/03/11,3034,novatek,460,1480,431.50,30000,10000
2002/03/11,3034,novatek,461,1520,431.50,0,48000
2002/03/11,3034,novatek,462,1560,420.50,1000,0
2002/03/11,3034,novatek,463,1560,421.00,18000,0
2002/03/11,3034,novatek,464,1560,421.50,5000,0
2002/03/11,3034,novatek,465,1560,422.00,7000,0
2002/03/11,3034,novatek,466,1560,423.00,68000,0
2002/03/11,3034,novatek,467,1560,423.50,25000,0
2002/03/11,3034,novatek,468,1560,425.50,2000,0
2002/03/11,3034,novatek,469,1560,426.00,6000,0
2002/03/11,3034,novatek,470,1560,426.50,1000,0
2002/03/11,3034,novatek,471,1560,427.00,16000,0
2002/03/11,3034,novatek,472,1560,427.50,3000,0
2002/03/11,3034,novatek,473,1560,428.00,2000,0
2002/03/11,3034,novatek,474,1560,428.50,10000,10000
2002/03/11,3034,novatek,475,1560,429.00,23000,10000
2002/03/11,3034,novatek,476,1560,429.50,68263,2000
2002/03/11,3034,novatek,477,1560,430.00,3000,79000
2002/03/11,3034,novatek,478,1560,430.50,0,13000
2002/03/11,3034,novatek,479,1560,431.00,22000,39000
2002/03/11,3034,novatek,480,1560,431.50,127000,9000
2002/03/11,3034,novatek,481,1570,422.50,1000,0
2002/03/11,3034,novatek,482,1570,425.00,2000,0
2002/03/11,3034,novatek,483,1570,428.50,9000,0
2002/03/11,3034,novatek,484,1570,429.00,12000,0
2002/03/11,3034,novatek,485,1570,429.50,1000,0
2002/03/11,3034,novatek,486,1570,430.00,3000,0
2002/03/11,3034,novatek,487,1570,431.00,15000,0
2002/03/11,3034,novatek,488,1570,431.50,4000,0
2002/03/11,3034,novatek,489,1590,420.00,0,2000
2002/03/11,3034,novatek,490,1590,420.50,10000,7000
2002/03/11,3034,novatek,491,1590,421.00,1000,2000
2002/03/11,3034,novatek,492,1590,421.50,8000,23000
